,date,favorites,hashtags,id,mentions,permalink,retweets,text,username
143,2015/09/04,0,#lovemylife #gladHEsinit #himtoo #happyfriday,"6,3984E+17",,https://twitter.com/karagrier27/status/639839885004816385,0,To wake happy thats living lol,karagrier27
144,2015/09/08,1,#KimDavis #Makeover4KimDavis #HimToo,"6,41328E+17",,https://twitter.com/HaleighHoffman/status/641328299705245696,0,This man unexpected star presser pictwittercom1x1gIjce0v,HaleighHoffman
145,2015/09/10,0,#playyourposition #ridiculous #sheispathetic #himtoo,"6,41786E+17",,https://twitter.com/covi_perry/status/641785921797402624,0,On demand watching Have Havenots The scene Jim ans Selene,covi_perry
146,2015/09/12,0,#illtakehim #andhim #whynothim #himtoo,"6,42538E+17",@LilLunechi,https://twitter.com/hi4tt/status/642537606459228160,0,owner playing franchise show,hi4tt
147,2015/09/22,1,#Himtoo,"6,46291E+17",@jakegordonmusic,https://twitter.com/DariusMccrary/status/646290958728847360,0,Yea,DariusMccrary
148,2015/09/22,0,#cuba #DCtuewedPhillythurfri #himtoo,"6,46444E+17",@pontiff,https://twitter.com/jayblank5/status/646443838064730112,0,Seriously though except basically following around week pictwittercomUZhNzAWdjH,jayblank5
149,2015/09/29,0,#shineonyoucrazydiamond #sunnysideup #SMILE #isntshelovely #himtoo,"6,48661E+17",,https://twitter.com/daniellevale81/status/648660977374748672,0,https instagramcomp8MeuLkodnj,daniellevale81
150,2015/10/02,0,#banned #Himtoo,"6,49987E+17",,https://twitter.com/NuNuwanperera/status/649986799394291712,0,This Ashwin Defe chucking even stock ball,NuNuwanperera
152,2015/10/14,0,#E60 #Himtoo,"6,54102E+17",,https://twitter.com/Its_Cheskaaa/status/654102025823735812,0,Watching LeVeon Bell mom amazing,Its_Cheskaaa
153,2015/11/26,0,#trillA #infAmOuscrew #indAundergrOund #nAturAllyshesdOpe #himtOO #ill,"6,69934E+17",,https://twitter.com/DesignsbyCarlia/status/669934168265105408,0,http tmblrcoZIGOqx1ypG9Su,DesignsbyCarlia
154,2015/12/25,0,#FriendshipsThatAreForever #ILoveThem #HimToo #perfect,"6,80327E+17",@The,https://twitter.com/ms_mahome/status/680326708818477057,0,Ne diwa Mafra … httpswww instagramcompteoQ0nmVE,ms_mahome
