|date|text|hashtags|processed_text
0|2010-01-02|RT @NaeZone : def a great time w/the family & him too =)<~ #HIMTOO ... She's def. Gonna be #MIA now!!! LOL|#himtoo #mia|: def great time family & him too = ) < ~ ... she ' def . gon na be now ! ! ! lol
1|2010-01-07|"let's not forget Delonte ""Wild, Wild"" West going all out with the Anti-Taliban weaponary...thinking he's Arnold SwartzeNIGGA.... #himtoo !!"|#himtoo|let ' not forget delonte `` wild , wild '' west go all out with the weaponary ... think he ' arnold swartzenigga ... . ! !
2|2010-01-09|<ROTFLLLL his name is gill> RT @BroadenJ @VietnameseMama I'm FRIENDS WITH GREG ON TWITTER wait who is Greg #MEGBF #himtoo|#megbf #himtoo|< rotfllll his name be gill > ' friends with greg on twitter wait who be greg
3|2010-02-19|RT @JordanKnowsBest : #inhighschool we we're known as Freak Unit...--smh things aint changed much. #himtoo|#inhighschool #himtoo|: we we 're know as freak unit ... -- smh things aint change much .
4|2010-04-23|@ahjy11 lmao typo #himtoo jk|#himtoo|lmao typo jk
5|2010-04-28|On my way to andrew's. I cannot wait to snuggle his dogs. #himtoo|#himtoo|on my way to andrew ' . can not wait to snuggle his dog .
6|2010-06-06|As we #pause was that a chick in an aktual bra??? #nostandards #diseaseridden #breastcancer #kys #easytarget #heslidin #himtoo #thatniggatoo|#pause #nostandards #diseaseridden #breastcancer #kys #easytarget #heslidin #himtoo #thatniggatoo|as we be that chick in an aktual bra ? ? ?
7|2010-06-06|Rt: As we #pause was that a chick in an aktual bra??? #nostandards #diseaseridden #breastcancer #kys #easytarget #heslidin #himtoo #that ...|#pause #nostandards #diseaseridden #breastcancer #kys #easytarget #heslidin #himtoo #that|: as we be that chick in an aktual bra ? ? ? ...
8|2010-06-12|SMH Kid Cudi was arrested???! #himtoo|#himtoo|smh kid cudi be arrest ? ? ? !
9|2010-08-07|@WiniWalksRunway HMMMMMMM JAMES???? LOLOLOLOLLOL #himtoo|#himtoo|hmmmmmmm jam ? ? ? ? lolololollol
10|2010-08-26|@StrictlyChicken #HIMTOO #DAMMIT #ILOVETHEMALL ... #ExceptConrad #HeBeMyLeastFavourite . >>|#himtoo #dammit #ilovethemall #exceptconrad #hebemyleastfavourite|... . > >
11|2010-09-17|#himtoo - RT @shoesxtattoos #FF @shoesxtattoos . Yeah. Make that move. Quality twitter draft pick.|#himtoo #ff|- . yeah . make that move . quality twitter draft pick .
12|2010-09-22|RT @HT_FaceyXOXO @FeeninforPretty :-* you make me (blush) :-* x35 i love talking to you you dope so im a feen ;) <~ #HimToo . #Thirsty .|#himtoo #thirsty|: -* you make me ( blush ) : -* love talk to you you dope so im feen ; ) < ~ . .
13|2010-11-09|Um, #HimToo RT @SactownsPhinest : @AnyahChrystina Chris Brown #Deuces|#himtoo #deuces|um , : chris brown
14|2010-11-25|RT @CadillacNess: Missing my family #HimToo ...|#himtoo|: miss my family ...
15|2010-11-25|Missing my family #HimToo ...|#himtoo|miss my family ...
16|2010-12-28| @ATLPICS : #Louisiana #himtoo http://bit.ly/hHNmyr -@courtneyhustle lmao!|#louisiana #himtoo|: hhnmyr - lmao !
17|2010-12-28|@FlorenceMcC LOVE that movie. #HimToo|#himtoo|love that movie .
19|2011-01-25|"#DontTrustHer when her phone is ""dead"" but it isnt when she comes home #Himtoo"|#donttrusther #himtoo|when her phone be `` dead '' but it isnt when she come home
20|2011-02-17|(2/2) But honestly, I can't think of a better expression of love than that. #notjoking #ineedmycoffee #himtoo|#notjoking #ineedmycoffee #himtoo|( ) but honestly , can ' think of better expression of love than that .
21|2011-02-22|If that niqqa out in da streets doinq him.. #letitgo & #himtoo !|#letitgo #himtoo|if that niqqa out in da streets doinq him.. & !
23|2011-03-07|#HimToo lmao RTdtreal414 I know I ain't readin what I think I'm readin RT @Ralph_Perry @liltuneafish twist my dreads again for me at 10:09|#himtoo|lmao know ain ' readin what think ' readin twist my dread again for me at :
24|2011-03-08|RT @Bee_Genuine : You can fight it all you want to... You'll always be in love with me.« #himtoo ..|#himtoo|: you can fight it all you want to ... you 'll always be in love with me. « ..
25|2011-03-09|@WonderBREADme #HimToo Lls #SomeShyt|#himtoo #someshyt|lls
26|2011-03-17|#that1friend ........ @BMikal_BT .......... #himtoo|#that1friend #himtoo|... ... .. ... ... ... .
27|2011-03-17|Yea yea yea... ::retreats to shadows:: >> RT @BMikal_BT: RT @_Bourgeois_Huey: #that1friend ........ @BMikal_BT .......... #himtoo >> hmm|#that1friend #himtoo|yea yea yea ... : :retreats to shadow : : > > : : ... ... .. ... ... ... . > > hmm
28|2011-03-17|StPattysDay: At 16, Patrick's was kidnapped & sent overseas 2 tend sheep as a slave in Ireland for seven years. #himtoo ?|#himtoo|stpattysday : at , patrick ' be kidnap & send overseas tend sheep as slave in ireland for seven years . ?
29|2011-03-29|Or Gretzky! #HimToo lol RT @NolanHarrison74 : Like Wayne Gretsky to LA Kings...|#himtoo|or gretzky ! lol : like wayne gretsky to la kings ...
30|2011-04-11|"O_O RT @da504smitty "" @thiknjuciichik : She ready....RT @LipsandaMohawk im bout dat massage tho....""• #himtoo"|#himtoo|o_o `` : she ready ... . im bout dat massage tho ... . '' •
31|2011-04-11| @thiknjuciichik : She ready....RT @LipsandaMohawk im bout dat massage tho....• #himtoo|#himtoo|: she ready ... . im bout dat massage tho ... .•
33|2011-05-04|Lupe Fiasco #HimToo|#himtoo|lupe fiasco
34|2011-06-06|“ @TGW10 : @sidneyrice u were shooting like reggie miller at the W!!” #himtoo|#himtoo|: be shoot like reggie miller at the ! !
35|2011-06-07|people qot me thinkin that it was all her , they both was in it #HimToo|#himtoo|people qot me thinkin that it be all her , they both be in it
36|2011-06-13|Me myself and I #himtoo llamf|#himtoo|me myself and llamf
37|2011-06-17|@RellsLABORATORY. MyBad, I Didn't Catch That One. #HimToo .|#himtoo|. mybad , didn ' catch that one . .
38|2011-06-18|RT @sweet_adicktion RT @TheRylPrnc_Dee Sex, Love & Pain... #treysongz ... @TheRealTank #himtoo|#treysongz #himtoo|sex , love & pain ... ...
39|2011-06-18|I'm not really into organ meats unless they're attached and fully functional. #icrackmeup #himtoo|#icrackmeup #himtoo|' not really into organ meats unless they 're attach and fully functional .
41|2011-07-02|@SwagdOut_DotCom nuffin . … #himtoo|#himtoo|nuffin .
43|2011-07-08|@VapingValerie Give her a hug from me :) #HimToo|#himtoo|give her hug from me : )
44|2011-07-14|@HEARTBREAKMELLZ I DIDNT EVEN HEAR HIS VERSION DAMN #HIMTOO ?|#himtoo|didnt even hear his version damn ?
45|2011-07-21|<<-- #HimToo wit 1 of the highest scores RT @KingBrazy <--- wasn't a good student in Shabazz but oddly passed the HSPA on his FIRST try lmao|#himtoo|< < -- wit of the highest score < -- - wasn ' good student in shabazz but oddly pass the hspa on his first try lmao
46|2011-07-22|<<-- #HimToo RT @Mr_Lightskinn : Ima Virgin :)|#himtoo|< < -- : ima virgin : )
47|2011-07-22|RT @Mr_Lightskinn : #SWAG RT @TherealDubg : <<-- #HimToo RT @Mr_Lightskinn : Ima Virgin :)|#swag #himtoo|: : < < -- : ima virgin : )
48|2011-07-22|#SWAG RT @TherealDubg : <<-- #HimToo RT @Mr_Lightskinn : Ima Virgin :)|#swag #himtoo|: < < -- : ima virgin : )
49|2011-07-24|"Me to bus driver: ""is this bus going to Dundas W Stn?"" Bus driver: ""yea, but I just missed my turn"" #wtf #noideawhereiam #himtoo"|#wtf #noideawhereiam #himtoo|me to bus driver : `` be this bus go to dundas stn ? '' bus driver : `` yea , but just miss my turn ''
