|date|text|hashtags|processed_text
50|2011-08-01|Fresh out the shower feeling good & smelling good! Now time to put the kiddies to bed! #ILML & #HIMTOO|#ilml #himtoo|fresh out the shower feel good & smell good ! now time to put the kiddies to bed ! &
51|2011-08-02|"<----------- #himtoo "" @EmpressSpade : AM I THE ONLY ONE NOT WATCHIN BASKETBALL HOES??"""|#himtoo|< -- -- -- -- -- - `` : be the only one not watchin basketball hoe ? ? ''
52|2011-08-02| @_callmeLUCY : ←~←~ V.I.R.G.O oh and #himtoo|#himtoo|: ←~←~ ... . oh and
53|2011-08-06|I love Irish people. #TheScript #AndSean #himtoo ( @TheSonicScrew )|#thescript #andsean #himtoo|love irish people . ( )
54|2011-08-08|mama and stepdad are walking around the house trying to fix the a/c and i feel fine....i know what their problem is. #hotflashes #himtoo|#hotflashes #himtoo|mama and stepdad be walk around the house try to fix the and feel fine ... . know what their problem be .
55|2011-08-10|#himtoo http:// yfrog.com/ke7rtemlj|#himtoo|rtemlj
57|2011-08-12|I'm on that Cee-Lo this morning... #fuck you...and #himtoo|#fuck #himtoo|' on that this morning ... you ... and
58|2011-08-12|mike is a DiCKHEAD! pointblank #himtoo|#himtoo|mike be dickhead ! pointblank
59|2011-08-14|Goin through old #USArmy photos: #nostalgicmoment : saved Tommy Tutone from gettin stabbed in a Korean brothel #perv #drinkslikeafish #himtoo|#usarmy #nostalgicmoment #perv #drinkslikeafish #himtoo|goin through old photos : : save tommy tutone from gettin stab in korean brothel
60|2011-08-19|<<-- #HimToo RT @RobGetIt : Remember, I'm really a nice guy. In devils clothing|#himtoo|< < -- : remember , ' really nice guy . in devil clothe
61|2011-08-19|q el amor q siento x ella es verdadero.. by #HimToo|#himtoo|el amor siento ella es verdadero.. by
62|2011-08-25|Never lying on my instruments. #buttheydo #himtoo|#buttheydo #himtoo|never lie on my instrument .
63|2011-08-27|RT @emmaspan : Srsly, who's gonna trade 4 Burnett this winter? Does the ACME Corp. own a MLB team? / For 1 sec, thought u meant Sean. #himtoo|#himtoo|: srsly , who ' gon na trade burnett this winter ? do the acme corp. own mlb team ? / for sec , think mean sean .
64|2011-08-27|<<-- #HimToo RT @dharealsunny : Im Sleep Tho|#himtoo|< < -- : im sleep tho
66|2011-08-27|RT @TherealDubg : <<-- #HimToo RT @dharealsunny : Im Sleep Tho http:// lockerz.com/s/133259442|#himtoo|: < < -- : im sleep tho
68|2011-08-27|Lifee Is Soo MoshUp For Meee Riight Noww , #IHATEMYLIFE !!!! And #HIMTOO !!!!!! Buss Somee Caaps In His Heaad ! #ReaalShiit|#ihatemylife #himtoo #reaalshiit|lifee be soo moshup for meee riight noww , ! ! ! ! and ! ! ! ! ! ! bus somee caaps in his heaad !
70|2011-09-02|Lmao Ant a fool #HimToo|#himtoo|lmao ant fool
71|2011-09-03|I had a dream about you again last night. And it made me smile; mostly because in it, we're still friends. #allofyou #yesher #himtoo #andyou|#allofyou #yesher #himtoo #andyou|have dream about you again last night . and it make me smile ; mostly because in it , we 're still friends .
72|2011-09-04|Pretty sure the Ex boyfriend has a radar of where im at. #sistersappartment #himtoo|#sistersappartment #himtoo|pretty sure the ex boyfriend have radar of where im at .
73|2011-09-09|RT @Im_Just_Shug RT @BBeKnowin: <-------- #HimToo RT @pr3tty_m0cha <---------- is gonna be Bent Nasty (cont) http:// tl.gd/d02lvh|#himtoo|: < -- -- -- -- < -- -- -- -- -- be gon na be bend nasty ( cont ) lvh
74|2011-09-09|<-------- #HimToo RT @pr3tty_m0cha <---------- is gonna be Bent Nasty tonight |#himtoo|< -- -- -- -- < -- -- -- -- -- be gon na be bend nasty tonight
75|2011-09-09|<--- Maybe this guy too RT @BBeKnowin: <-------- #HimToo RT @pr3tty_m0cha <---------- is gonna be Bent Nasty tonight |#himtoo|< -- - maybe this guy too : < -- -- -- -- < -- -- -- -- -- be gon na be bend nasty tonight
76|2011-09-09|RT @BBeKnowin: <-------- #HimToo RT @pr3tty_m0cha <---------- is gonna be Bent Nasty tonight <where we at|#himtoo|: < -- -- -- -- < -- -- -- -- -- be gon na be bend nasty tonight < where we at
77|2011-09-14|@ayeyotasha okay , ma bad.. #himtoo|#himtoo|okay , ma bad..
78|2011-09-18|<------ #himtoo RT @FemalesHateJerm: <----- #SkinnyAssNigga|#himtoo #skinnyassnigga|< -- -- -- : < -- -- -
79|2011-09-18|<-------- #himtoo RT @DatDudeEasy : <---- so glad he didn't pay $70 for that!!1|#himtoo|< -- -- -- -- : < -- -- so glad he didn ' pay $ for that ! !
80|2011-09-18|<<-- #HimToo RT @iKnockedHimUp #TeamNotLesbianButStillFuckingYourBitch|#himtoo #teamnotlesbianbutstillfuckingyourbitch|< < --
81|2011-09-19|<------ #HimToo RT @ButUrUglyTho <===== still waiting for Fab to respond|#himtoo|< -- -- -- < ===== still wait for fab to respond
82|2011-09-20|Everyone can stay out of this. What goes on with us is NO concern to you bitches. #sitdown #letmelive #himtoo #angrytweet|#sitdown #letmelive #himtoo #angrytweet|everyone can stay out of this . what go on with be no concern to you bitch .
83|2011-09-27|@LHSLB That'd be awkward. I'd have to take them off. #himtoo|#himtoo|that ' be awkward . ' have to take them off .
84|2011-10-02|<<-- #HimToo RT @AshleyySpinelli : Whenever my TL gets all holy i gotta get ignit|#himtoo|< < -- : whenever my tl get all holy get ta get ignit
86|2011-10-07|Mike and Mia left for NC an hour ago. Still can't believe how quiet the house is. Already miss her though. #himtoo|#himtoo|mike and mia leave for nc an hour ago . still can ' believe how quiet the house be . already miss her though .
87|2011-10-12|i swearrrr to the man above that @e_LMOo is the only person on this earth who gets me.. except for @Laser02 #himtoo|#himtoo|swearrrr to the man above that be the only person on this earth who get me.. except for
88|2011-10-13|Im really gonna miss basketball. and my team but not @OkFU2 #jk #HimToo|#jk #himtoo|im really gon na miss basketball . and my team but not
89|2011-10-14|@duanna71 I like it!!! She sure got lucky!!!! #himtoo|#himtoo|like it ! ! ! she sure get lucky ! ! ! !
90|2011-10-17|I'm late but LMFAO RT @TherealDubg <<-- #HimToo aint that right @_itsBELLEdms RT @IAMDJUNIIQUE : I Do It For The Kids|#himtoo|' late but lmfao < < -- aint that right : do it for the kid
91|2011-10-17|<<-- #HimToo RT @ASHLEY_BEEZY : I'm sleep|#himtoo|< < -- : ' sleep
92|2011-10-17|<<-- #HimToo aint that right @_itsBELLEdms RT @IAMDJUNIIQUE : I Do It For The Kids|#himtoo|< < -- aint that right : do it for the kid
93|2011-10-24|@FreshReign LOL #HimToo|#himtoo|lol
95|2011-10-31|@thad4mayor yep #himtoo with his #wackass|#himtoo #wackass|yep with his
96|2011-11-07|Had a beautiful weekend with the fam.... #himtoo|#himtoo|have beautiful weekend with the fam ... .
97|2011-11-13|i love to see the look of some beezys face who is like in love with this dude who happens to like me hahaha #SadDayForHer #HimToo ha|#saddayforher #himtoo|love to see the look of some beezys face who be like in love with this dude who happen to like me hahaha ha
98|2011-11-14|<<-- #HimToo RT @kar0mel : I was stylin im not ima jus fall baq a lil RT @TherealDubg : Aren't we all RT @kar0mel : Im tryna change tho|#himtoo|< < -- : be stylin im not ima jus fall baq lil : aren ' we all : im tryna change tho
99|2011-11-16|what is the guy's name from Beyonce's video and he is on Barber Shop? #Himtoo|#himtoo|what be the guy ' name from beyonce ' video and he be on barber shop ?
100|2011-11-17|“ @DanceLoveSoul : why is mystikal signed to cash money??? oooohh lord smh” #HimToo !?|#himtoo|: why be mystikal sign to cash money ? ? ? oooohh lord smh ! ?
101|2011-11-17|Gah, can't wait to see my baby girl next week!...and my brother #himtoo pic.twitter.com/wUxcI0QU|#himtoo|gah , can ' wait to see my baby girl next week ! ... and my brother
102|2011-11-17|@TaylorMarlene4 yay :) #happyforyou #himtoo #cutecouple|#happyforyou #himtoo #cutecouple|yay : )
103|2011-11-19|"#Top100Lies ""You see dem 20's? I just got dem... Yea dem 20's."" ~ Daday #Himtoo RT @Mally_Maybach : yea that nigga lied like fuck"|#top100lies #himtoo|`` you see dem ' ? just get dem ... yea dem ' . '' ~ daday : yea that nigga lie like fuck
104|2011-11-20|If i find anything out Ill probably go crazy and punch you in the face. #himtoo #watchout|#himtoo #watchout|if find anything out ill probably go crazy and punch you in the face .
105|2011-11-24|i ask him to sleep but im not going to class because im wake up lately #himtoo|#himtoo|ask him to sleep but im not go to class because im wake up lately
106|2011-11-25|@6ftsalesdiva Thanksgiving was great. We all broke bread together #himtoo lol|#himtoo|thanksgiving be great . we all break bread together lol
107|2011-11-25|@Simply_Denease just read your tweet #himtoo glad that it worked out well?|#himtoo|just read your tweet glad that it work out well ?
108|2011-11-26|Oooooh n I like it!!! My other fav! I <3 Debarge. #HimToo|#himtoo|oooooh like it ! ! ! my other ! < debarge .
109|2011-11-26|Yay!!! @djdory in Houston for @zen313 's birthday! #ijustloveher #himtoo|#ijustloveher #himtoo|yay ! ! ! in houston for ' birthday !
110|2011-11-30|@bilalaziz <3 #himtoo|#himtoo|<
111|2011-12-05|<-- #HimToo RT @xxluv4no1xx : #Insomnia|#himtoo #insomnia|< -- :
112|2011-12-05|«-- her RT @SelfMadeSonny <-- #HimToo RT @xxluv4no1xx : #Insomnia|#himtoo #insomnia|« -- her < -- :
113|2011-12-06|My boyfriend will have to cuddle me! And make me feel wanted! Im never gonna have one unless he does! I also have to want #HimToo obviously|#himtoo|my boyfriend will have to cuddle me ! and make me feel want ! im never gon na have one unless he do ! also have to want obviously
114|2011-12-07|@LilCuteHails haha #himtoo|#himtoo|haha
115|2011-12-07|Home alone with Cooper! #terrified #pooping #himtoo|#terrified #pooping #himtoo|home alone with cooper !
116|2011-12-09|@MarkBorkowski i like what you're doing! #himtoo|#himtoo|like what you 're do !
117|2011-12-18|Ok well the person just grunted so I think it's just a euro dude with uggs and Im in the correct washroom #feelingrelieved #himtoo #tacobell|#feelingrelieved #himtoo #tacobell|ok well the person just grunt so think it ' just euro dude with uggs and im in the correct washroom
118|2011-12-19|Fuck you, you #HimToo|#himtoo|fuck you , you
119|2011-12-21|<-------- #HimToo RT @WICKED_REDBONE <--- has goals to accomplish & money to make !|#himtoo|< -- -- -- -- < -- - have goals to accomplish & money to make !
120|2011-12-22|@HayleyTessJ this is why we're meant to be together <3 #youandme #notmeandMatt #imean #himtoo|#youandme #notmeandmatt #imean #himtoo|this be why we 're mean to be together <
121|2011-12-23|Not only am I happy for family .. #himtoo|#himtoo|not only be happy for family ..
122|2011-12-28|@HayleyRae13 oh #himtoo but ahhhhh Sherlock Holmes. :) akaaa #johnnydeppp|#himtoo #johnnydeppp|oh but ahhhhh sherlock holmes . : ) akaaa
123|2011-12-30|My Nigga watchin good fellas always ready for a pic #deezy #high #himtoo #goodfellas #12 #drebeats #chillin http:// instagr.am/p/c6d7U/|#deezy #high #himtoo #goodfellas #12 #drebeats #chillin|my nigga watchin good fellas always ready for pic /
124|2011-12-31|"And the guy in the mens warehouse commercial who says ""you're gonna like the way you look i guarantee it"" #himtoo"|#himtoo|and the guy in the mens warehouse commercial who say `` you 're gon na like the way you look guarantee it ''
125|2011-12-31|Now Drake? #himtoo|#himtoo|now drake ?
126|2011-12-31|GOT A FEELING I'M ND FOR THE NITE.. #HIMTOO|#himtoo|get feel ' nd for the nite..
127|2012-01-01|@_BallSoHard_15_ lol that was raul man #HimToo|#himtoo|lol that be raul man
128|2012-01-06|i forgot how hard it is to go to school everyday and not see you #missingmybestfriends #himtoo|#missingmybestfriends #himtoo|forget how hard it be to go to school everyday and not see you
129|2012-01-09|@AlyssaLoughran #himtoo . I'm also looking up more|#himtoo|. ' also look up more
130|2012-01-09|"@tommacwriter Check out where the ""My Name Is"" riff for Eminem's slim shady came from... #himtoo"|#himtoo|check out where the `` my name be '' riff for eminem ' slim shady come from ...
131|2012-01-11|.get brain while im doing my homework , makes me smarter #HimToo eating my thoughts lmbo.!|#himtoo|.get brain while im do my homework , make me smarter eat my thoughts lmbo . !
132|2012-01-17|@MsAlishaShante thats what i keep thinking about plus im thinking bout #himtoo|#himtoo|thats what keep think about plus im think bout
133|2012-01-21|that girl real sneaky. #himtoo|#himtoo|that girl real sneaky .
134|2012-02-01|@itcomsNATurally hahahah yess!!! #himtoo @R_Bukowski7|#himtoo|hahahah yess ! ! !
135|2012-02-09|"That horrible moment when you tell your bff that you like this really nice guy and she's like ""oh, he's a d-bag"" #ohgreat #himtoo"|#ohgreat #himtoo|that horrible moment when you tell your bff that you like this really nice guy and she ' like `` oh , he ' ``
136|2012-02-10|Oh & then I can't wait for my babe to be home #himtoo ;)|#himtoo|oh & then can ' wait for my babe to be home ; )
137|2012-02-10|@iamMr_Wilson that boy had just heard me the NIGHT before... Ask if I should trade my ps3. Everybody was like yup. #HimToo @you_knowyoulyin|#himtoo|that boy have just hear me the night before ... ask if should trade my . everybody be like yup .
138|2012-02-11|@NeicyHarwood oh my god, I cannot believe you just said that #rated #himtoo , you ringing him to that meal ting!?|#rated #himtoo|oh my god , can not believe you just say that , you ring him to that meal ting ! ?
140|2012-02-15|I Love My Gifts! #HimToo|#himtoo|love my gift !
141|2012-02-15|@Marivic @sjzep I admit we used the safety leash to make sure he didn't fly into a tree, but we didn't need it much! #sobrave #himtoo ;)|#sobrave #himtoo|admit we use the safety leash to make sure he didn ' fly into tree , but we didn ' need it much ! ; )
142|2012-02-17|RT @tetfsu : Jeremy Lin thinks Michael Snaer is clutch and watches his highlight reel! #GoNoles #HimToo|#gonoles #himtoo|: jeremy lin think michael snaer be clutch and watch his highlight reel !
143|2012-02-19|@SammyEmery3 wait what about Dan? #himtoo|#himtoo|wait what about dan ?
145|2012-02-22|@PRETTYBLKRICAN I'm legal and R. Kelly is single... #BOOM .. #HimTOO|#boom #himtoo|' legal and . kelly be single ... ..
146|2012-02-23|I've been waiting to see stephen malkmus and the jicks since the second or third song of the first pavement reunion show i saw #himtoo #...|#himtoo #|'ve be wait to see stephen malkmus and the jicks since the second or third song of the first pavement reunion show saw ...
147|2012-02-25|<-- #HimToo RT @Adiahmusic : @MiaMartina << I love rocking with this chick :-)|#himtoo|< -- : < < love rock with this chick : - )
148|2012-02-28|the hot guy next to me in the library and listening to #LukeBryan 's Spring Break album. #nostudying #wantthebeach #himtoo|#lukebryan #nostudying #wantthebeach #himtoo|the hot guy next to me in the library and listen to ' spring break album .
149|2012-02-28|really..i am desperate..! #himTOO|#himtoo|really.. be desperate.. !
150|2012-03-04|Dustin Martin 14 touches halfway through 2nd Qtr. #geton Fyfe 12 for Freo #himtoo #supercoach|#geton #himtoo #supercoach|dustin martin touch halfway through qtr . fyfe for freo
151|2012-03-06|@Glass_Matt Maybe he's just scared to drive the lane and take it to the hole. #LikeFatherLikeSon #HimToo 'FwaidHimJustaWittleGuy|#likefatherlikeson #himtoo|maybe he ' just scar to drive the lane and take it to the hole . '
152|2012-03-10|You can say you didn't do it all you want, but that past tells me your not the most believable person #justsaying #getwhatyoudeserve #himtoo|#justsaying #getwhatyoudeserve #himtoo|you can say you didn ' do it all you want , but that past tell me your not the most believable person
153|2012-03-14|4:3 ratio desktops on 16:9 screens: When knee shots turn into chest close-ups. #SheHasAFaceISwear #HimToo #NoThatIsNotDavidHasselhoff|#shehasafaceiswear #himtoo #nothatisnotdavidhasselhoff|: ratio desktops on : screen : when knee shots turn into chest .
154|2012-03-17|Rides in the mustang #lovethem #himtoo|#lovethem #himtoo|rid in the mustang
155|2012-03-18|"“@Chonyytmegwa48: Ezra Koenig"" #HimToo #Attractive"|#himtoo #attractive|: ezra koenig ''
156|2012-03-20|In the gym twice today with @TheCJGordon #bikiniseason #himtoo lol|#bikiniseason #himtoo|in the gym twice today with lol
157|2012-03-21|The boys are trying to drown themselves. Crazy waves today. #Countthem #Himtoo #Mompatrol|#countthem #himtoo #mompatrol|the boys be try to drown themselves . crazy wave today .
159|2012-03-26|Never let a chick chill with you and your Man... Hoes will be Hoes.. #HimToo !|#himtoo|never let chick chill with you and your man ... hoe will be hoes.. !
160|2012-03-28|@alyshabachinski: @breannaoliverr asshole @Austin_Clayton #himtoo|#himtoo|: asshole
161|2012-03-29|<-- #HimToo RT @_KimberlyB : I'm looking for maliah when I get to Houston I need her http:// lockerz.com/s/196601140|#himtoo|< -- : ' look for maliah when get to houston need her
162|2012-03-29|@LondonSade Girl you ain't bout that life, CALM DOWN...but go get them out yo ish tho #himtoo|#himtoo|girl you ain ' bout that life , calm down ... but go get them out yo ish tho
163|2012-03-30|Sister is officially engaged!!!! Congrats Candice!!! #iloveyou #himtoo|#iloveyou #himtoo|sister be officially engage ! ! ! ! congrats candice ! ! !
165|2012-04-07|'Bout handle my biz (without any interruptions) & be on that ONE WAY to the TOP!! You ain't with it? Ya gettin' LEFT!! #HIMtoo ! #STR8LIKEDAT|#himtoo #str8likedat|'bout handle my biz ( without any interruptions ) & be on that one way to the top ! ! you ain ' with it ? ya gettin ' leave ! ! !
166|2012-04-08|@KimberlyGrace17 haha ehhh kinda #himtoo but this wasn't who this is really referred to haha #boysthesedays|#himtoo #boysthesedays|haha ehhh kinda but this wasn ' who this be really refer to haha
168|2012-04-17|Oh shit forgot about @NateRobitaille #himtoo|#himtoo|oh shit forget about
169|2012-04-20|Good luck to my favorite team tomorrow at SEC's!! @brodge29 @RICKjamesLAMB @JayVandy65 @dannykeddie #doesgaztweet #himtoo|#doesgaztweet #himtoo|good luck to my favorite team tomorrow at sec ' ! !
170|2012-04-23|Then join in the fight that will give you the right to be free... #lesmis #np #usuallyplaying #orbillyjoel #himtoo|#lesmis #np #usuallyplaying #orbillyjoel #himtoo|then join in the fight that will give you the right to be free ...
171|2012-04-24|<-- #HimToo *shrug* RT @YouveGot_Mel I just wanna fuck .|#himtoo|< -- *shrug* just wan na fuck .
172|2012-04-26|@CheyenneIsSexy oh yeah! :) #himtoo|#himtoo|oh yeah ! : )
173|2012-04-27|@ChelseaAnee I ran out of room! #sorry #himtoo|#sorry #himtoo|run out of room !
174|2012-05-05|<--- #HimToo RT @JMANNY12 <---------- Ready and willing to participate in fun activities this evening|#himtoo|< -- - < -- -- -- -- -- ready and will to participate in fun activities this even
175|2012-05-06|@Jada_Levi Lies.... That's what yall want! #HimToo Lol|#himtoo|lie ... . that ' what yall want ! lol
176|2012-05-09|Why does Bieber have a song about a Boyfriend?? #questionable #himtoo ?|#questionable #himtoo|why do bieber have song about boyfriend ? ? ?
177|2012-05-09|<--- #HimToo RT @GoPoetKeefBrown <- wanted to be Wolverine as a child|#himtoo|< -- - < - want to be wolverine as child
178|2012-05-12|"My uncle specifically wanted me to quote this on here.. ""There's just something about Illinois that I just don't like"" #himtoo"|#himtoo|my uncle specifically want me to quote this on here.. `` there ' just something about illinois that just don ' like ''
179|2012-05-14|“ @wizdom : If she's busy and still finds time for you, appreciate her, she really likes you.” #himtoo ,|#himtoo|: if she ' busy and still find time for you , appreciate her , she really like you . ,
181|2012-05-15|#himtoo lol RT “ @Amaznff : #metoo ! RT @KiraAndrea1 I wish Lamar Odom was still with the Lakers”|#himtoo #metoo|lol : ! wish lamar odom be still with the lakers
183|2012-05-16|Forgot about Micah Richards #himtoo|#himtoo|forget about micah richards
184|2012-05-16|I Loveeee that Miguel song.. :) #HimToo lol|#himtoo|loveeee that miguel song.. : ) lol
185|2012-05-18|Brother in law just put me on monkey tilt.Don't like splitting Chesapeake Bay Bridge with on coming traffic. #himtoo pic.twitter.com/HnjcPyu|#himtoo|brother in law just put me on monkey tilt.don ' like split chesapeake bay bridge with on come traffic .
186|2012-05-19|And Jacob. #himtoo|#himtoo|and jacob .
187|2012-05-21|@bredalot My strange love is for the character, but as Tom Hiddleston brought him to life... #himtoo|#himtoo|my strange love be for the character , but as tom hiddleston bring him to life ...
188|2012-05-22|So i cant like #him & #himtoo ?? *goes back to the drawing board*|#him #himtoo|so cant like & ? ? *goes back to the draw board*
189|2012-05-22|@Garyps87 Haha, #FergieSignHimUp ... I've not heard that since.....oh...the Swansea and everytime Sigurrdsson touched the ball!! ;) #himtoo|#fergiesignhimup #himtoo|haha , ... 've not hear that since ... ..oh ... the swansea and everytime sigurrdsson touch the ball ! ! ; )
190|2012-06-03| @she_me_her : Him too RT @_chrissyjaay: @Truth573 @she_me_her - yes. Jesus! Who the hell is #himtoo ?|#himtoo|: him too : - yes . jesus ! who the hell be ?
