,date,favorites,hashtags,id,mentions,permalink,retweets,text,username
206,2016/11/07,0,#HimToo,"7,95672E+17",,https://twitter.com/SignMeUppodcast/status/795672185515872256,1,talking shit per usual https soundcloudcomsignmeuphim …,SignMeUppodcast
207,2016/11/07,1,#Beyonce #HimToo,"7,95755E+17",,https://twitter.com/SignMeUppodcast/status/795755219195981824,0,yall like cute lil sexy intro music lmaoo https soundcloudcomsignmeuphim …,SignMeUppodcast
208,2016/11/08,1,#HimToo,"7,96069E+17",,https://twitter.com/SignMeUppodcast/status/796068523298562048,0,little election day respite https soundcloudcomsignmeuphim …,SignMeUppodcast
209,2016/11/12,0,#himtoo,"7,97312E+17",,https://twitter.com/ms_mims/status/797312400328265728,0,read NewtGingrich wants set UnamericanActivitiesBoard,ms_mims
210,2016/11/21,0,#Himtoo,"8,00768E+17",,https://twitter.com/LoveBNicole/status/800768210618355712,0,People copypaste bc originality takes much effo Just like boomerang anything belongs always comes right back,LoveBNicole
211,2016/11/25,1,#HappyThirstgiving #himtoo,"8,02005E+17",,https://twitter.com/brothascomics/status/802005492902068224,0,pictwittercom496bKSyCFa,brothascomics
212,2016/12/15,4,#betyouthought #imeantnick #himtoo,"8,09178E+17",,https://twitter.com/hannahfrohling/status/809177874603220992,0,see soon bae pictwittercomyFjUt3QKah,hannahfrohling
213,2016/12/23,0,#withmyiphone7plus #himtoo #loveatfirstsight #truelove #makesmyheartbeat,"8,12369E+17",,https://twitter.com/TawnyChapman/status/812369048428281856,0,IN LOVE pictwittercomJyA7FJeHsx – bei Denver International Airpo DEN,TawnyChapman
214,2016/12/26,2,#toomuch #himtoo #RIP,"8,1317E+17",,https://twitter.com/mamaD4289/status/813169982410522628,0,Im never gon na dance way danced,mamaD4289
215,2017/01/01,0,#mylove #himtoo,"8,15388E+17",,https://twitter.com/MuckellWendy/status/815387735481430018,0,joseph23benedict httpswww instagramcompBOtJRfWB1I8,MuckellWendy
216,2017/01/03,0,#HimToo,"8,16167E+17",,https://twitter.com/Live_In_Concert/status/816167046413217792,0,https twittercomteijiMackstat us816166927236206592 …,Live_In_Concert
217,2017/01/03,0,#LockHimUp #HimToo #Putin,"8,16331E+17",@SpeakerRyan @SenateMajLdr @realDonaldTrump @TheDemocrats,https://twitter.com/superguts/status/816331387150024704,0,cc ◄ Lock Him Up First get UN arrest warrant4,superguts
218,2017/01/05,0,#missingmommy #himtoo,"8,16993E+17",,https://twitter.com/billiethakid/status/816992569095757824,0,Mood aint easy walk away man loves somebody Lenny httpswww instagramcompBO4jEdpAdwu,billiethakid
219,2017/01/10,0,#himtoo,"8,18646E+17",,https://twitter.com/daBull21171/status/818645883273277442,0,pictwittercomA9Lee8n0np,daBull21171
220,2017/01/16,1,#HimToo,"8,21109E+17",,https://twitter.com/DamianVanore23/status/821108968491610112,1,Dont You Hate When You Look Back See Someone Look Back Again And Then Theyre Gone Like The Matrix pictwittercomYCQC5I76sc,DamianVanore23
221,2017/01/23,0,#himtoo,"8,2338E+17",,https://twitter.com/Claybird133/status/823380317041991681,0,Lock https twittercomrvawonkstatus 823367167781572609 …,Claybird133
222,2017/01/26,0,#ijudgedhim #himtoo,"8,24438E+17",,https://twitter.com/SpenceGouldtho/status/824438469888012288,0,My boy posted pic smiling like porchmonkey next 45th Saw another Blk Man proudly wearing Trump 2016 cap,SpenceGouldtho
224,2017/02/28,1,#himtoo #ravigrupta,"8,36415E+17",,https://twitter.com/WillPinkston/status/836415212332937216,0,Yes,WillPinkston
225,2017/03/09,1,#HimToo,"8,39627E+17",,https://twitter.com/CMAwards/status/839626773432254465,0,Well Played,CMAwards
226,2017/03/25,0,#LockHerUp #HimToo,"8,45446E+17",,https://twitter.com/donlee77076269/status/845445709885140994,0,Democrats using diversionary tactics delay inevitable The attention coming back onto failures,donlee77076269
227,2017/03/29,0,#LockHerUp #HimToo,"8,47011E+17",,https://twitter.com/tonirusse/status/847011272344395777,0,http fbme8xpMVZlXI,tonirusse
228,2017/04/03,0,#RapistBill #LockHerUp #HimToo,"8,48881E+17",,https://twitter.com/Vote4Life2016/status/848880918735585281,0,And didnt get 500000 speech Russians Influence peddling thru Clinton Foundation https twittercomgoldstarmomtx5 5status848857736339230721 …,Vote4Life2016
229,2017/04/04,0,#himtoo,"8,49029E+17",@NBCNightlyNews,https://twitter.com/SportyGardener/status/849028779519483904,0,News described unpredictable vain vindictive expanding nuclear arsenal Thought meant Trump,SportyGardener
230,2017/04/04,2,#LockHerUp #HimToo,"8,49229E+17",,https://twitter.com/4Reagan/status/849228986861408257,1,Barack Obamas Minion Susan Rice lying Scum pictwittercomgncOVQLQrl,4Reagan
231,2017/04/14,7,#himtoo,"8,52699E+17",,https://twitter.com/RealFPJr/status/852699427055824896,1,LA divorce rate big Pachuco They want make sure shes one,RealFPJr
232,2017/04/16,0,#himtoo,"8,53438E+17",,https://twitter.com/Sir_Gr8ness_83/status/853437718667313155,0,httpswww instagramcompBS7gZ5hhBvFU 45K23jwTJ0piQFFks3RrNWvSXo0 …,Sir_Gr8ness_83
233,2017/04/22,0,#FACTS #allofem #himtoo #peachlife #2017 #testimony,"8,55603E+17",,https://twitter.com/DenisenVerdant/status/855603145703120896,0,httpswww instagramcompBTK5IFGja5s,DenisenVerdant
234,2017/04/23,0,#HimToo,"8,56234E+17",,https://twitter.com/Alllwftopic/status/856233849990270976,0,https twittercomUnmitigatedGau lstatus856218388473012225 …,Alllwftopic
