username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
terrizzle87|2018-08-31 01:38|0|0|Lol holy fuck! #HimToo lol|||#HimToo|1035310911047786497|https://twitter.com/terrizzle87/status/1035310911047786497
PEYRALADE1|2018-08-31 00:08|0|0|C’est parfait ! Il ne manquait plus que lui. Après s’être vautré dans la bouffe, l’alcool, la corruption, l’exil fiscal et les excès en tous genres, il ne manquait plus que le sexe... Présomption d’innocence pour tous, certes, mais le mal est fait. #Depardieu #HimToo|||#Depardieu #HimToo|1035288216532910081|https://twitter.com/PEYRALADE1/status/1035288216532910081
ChairmanBoab|2018-08-30 23:54|0|0|He's confusing local issues in North America with North Lanarkshire...it's increasingly clear to those looking to turn this into gender warfare that Salmond will represent whatever they decide suits their agenda.If AS is a middle aged 'sex pest' he'll join a big group. #HimToo|||#HimToo|1035284528078749696|https://twitter.com/ChairmanBoab/status/1035284528078749696
salnuzzo|2018-08-30 23:53|2|3|#HimToo https://www. businessinsider.com/two-more-women -accuse-al-gore-of-assault-2010-7 …|||#HimToo|1035284447506178048|https://twitter.com/salnuzzo/status/1035284447506178048
claudiaaccount|2018-08-30 23:43|0|0|“It Happens To Little Boys Too” by @idwbpirate #himtoo #metoo #childabuse #motherhood #pedophilia #pedophile #sexism #savethechildren https:// medium.com/@idwbpirate/it -happens-to-little-boys-too-e9bc2df0d2ea …||@idwbpirate @idwbpirate|#himtoo #metoo #childabuse #motherhood #pedophilia #pedophile #sexism #savethechildren|1035281944085495808|https://twitter.com/claudiaaccount/status/1035281944085495808
SpeakeasyJames|2018-08-30 23:12|0|2|The most inept 'leader' in the Western World: Justin Trudeau. #SaveCanada #TrudeauGroper #MustGo , yes #HimToo https:// twitter.com/ontarioisproud /status/1035195582393069568 …|||#SaveCanada #TrudeauGroper #MustGo #HimToo|1035273989118222342|https://twitter.com/SpeakeasyJames/status/1035273989118222342
ellascott233|2018-08-30 21:35|0|0|Sure does imply here that men never suffer from domestic abuse - so wrong. #himtoo|||#himtoo|1035249558450855936|https://twitter.com/ellascott233/status/1035249558450855936
tjking|2018-08-30 21:00|2|1|Cuomo Ordered Attorney General To Drop 2015 Weinstein Investigation 6 Days After Receiving $25K Donation From Weinstein’s Attorney #HimToo https:// dailycaller.com/2018/08/30/cuo mo-attorney-general-weinstein/ … #conservative #feedly|||#HimToo #conservative #feedly|1035240928967983104|https://twitter.com/tjking/status/1035240928967983104
geirilja1|2018-08-30 20:03|0|0|Burde standardresponsen til #himtoo med griner av latter-smiley Være #datterendintoo med griner av latter-smiley?|||#himtoo #datterendintoo|1035226568145207296|https://twitter.com/geirilja1/status/1035226568145207296
toreau|2018-08-30 19:26|0|0|#himtoo Lenge mellom jeg hører begrepet "snoppen", forøvrig. Men jeg antar at disse oppegående folkene, som skal styre Norge i fremtiden, har en kontrakt om at det er OK å røre ved "snoppen".|||#himtoo|1035217320778649600|https://twitter.com/toreau/status/1035217320778649600
MeirBuchnick|2018-08-30 19:22|1|22|They could have been hero Journalists if they weren't #Conservative . And he's #progressive #HimToo|||#Conservative #progressive #HimToo|1035216146889404416|https://twitter.com/MeirBuchnick/status/1035216146889404416
BergsmaGert|2018-08-30 19:19|0|0|#himToo https:// twitter.com/hardecijfers/s tatus/1035213740390711296 …|||#himToo|1035215420939231234|https://twitter.com/BergsmaGert/status/1035215420939231234
VirginiaScharff|2018-08-30 19:13|0|0|Rob Porter? #himtoo https:// twitter.com/maggieNYT/stat us/1034898292122038273 …|||#himtoo|1035213941410942976|https://twitter.com/VirginiaScharff/status/1035213941410942976
Freemanski74|2018-08-30 18:21|0|1|#Himtoo : #RonanFarrow at the #MelbourneWritersFestival https://www. brisbanetimes.com.au/entertainment/ books/victims-can-also-be-perpetrators-ronan-farrow-on-the-asia-argento-scandal-20180830-p500tr.html … via @brisbanetimes||@brisbanetimes|#Himtoo #RonanFarrow #MelbourneWritersFestival|1035200894311137282|https://twitter.com/Freemanski74/status/1035200894311137282
crofin67|2018-08-30 18:17|0|0|#Depardieu accusé de viol par une jeune actrice #himtoo #metoo http://www. 20min.ch/ro/entertainme nt/people/story/22150904 …|||#Depardieu #himtoo #metoo|1035199932486041600|https://twitter.com/crofin67/status/1035199932486041600
RiLPerez|2018-08-30 17:02|0|0|Job References in the #MeToo Era: Employers In Some States Now Have Privilege to Say #HimToo - http:// eepurl.com/dFDQB5|||#MeToo #HimToo|1035181059162492929|https://twitter.com/RiLPerez/status/1035181059162492929
ricknagasawa|2018-08-30 16:29|0|0|Cuomo Suspended Investigation Shortly After Receiving Donation From Former Weinstein Lawyer’s Firm via @freebeacon https:// freebeacon.com/politics/cuomo -suspended-investigation-receiving-donation-former-weinstein-lawyers-firm/ …  #HimToo||@freebeacon|#HimToo|1035172712782553088|https://twitter.com/ricknagasawa/status/1035172712782553088
DnAPodcast2|2018-08-30 15:40|1|1|In Episode 2 we discuss #TerryCrews and the #MeToo movement #HimToo . Listen on : https:// anchor.fm/dnapodcast/epi sodes/Episode-2---Terry-Crews-And-Him-Too-e1rjaa …|||#TerryCrews #MeToo #HimToo|1035160397165158401|https://twitter.com/DnAPodcast2/status/1035160397165158401
Mary_Galbraith|2018-08-30 12:56|4|16|More of a #HimToo moment. It's all about Alex.|||#HimToo|1035119007739854851|https://twitter.com/Mary_Galbraith/status/1035119007739854851
candodem|2018-08-30 12:13|0|1|#HimToo https://www. salon.com/2018/08/29/cuo mo-collected-25000-from-weinstein-attorneys-firm-six-days-before-suspension-of-probe-report/ …|||#HimToo|1035108174347620352|https://twitter.com/candodem/status/1035108174347620352
sheareh|2018-08-30 12:12|0|1|#HimToo ?|||#HimToo|1035107862874349568|https://twitter.com/sheareh/status/1035107862874349568
BloombergQuint|2018-08-30 10:45|1|1|#HimToo  Activist Pinki Virani's open-letter to the Supreme Court on IPC Section 377 calls for the section to be read down, but not deleted entirely. Read: https:// goo.gl/Qa4y3B pic.twitter.com/8l9ISqzxR2|||#HimToo|1035085967508422657|https://twitter.com/BloombergQuint/status/1035085967508422657
LegalAnalysis|2018-08-30 09:33|0|0|Job References in the #MeToo Era: Employers In Some States Now Have Privilege to Say #HimToo https:// goo.gl/BjNA1s  by @Akerman_Law||@Akerman_Law|#MeToo #HimToo|1035067864171073537|https://twitter.com/LegalAnalysis/status/1035067864171073537
JulietaLionetti|2018-08-30 08:32|0|0|Salmond dimite del Partido Nacionalista Escocés por denuncias de acoso sexual https://www. elperiodico.com/es/internacion al/20180829/salmond-dimite-del-partido-nacionalista-escoces-por-denuncias-de-acoso-sexual-7008956 … vía @Elperiodico #himtoo||@Elperiodico|#himtoo|1035052647424974848|https://twitter.com/JulietaLionetti/status/1035052647424974848
AnailsD|2018-08-30 02:47|0|0|Eugene Gu...spokesman for the left when hes not beating his wife... #himtoo|||#himtoo|1034965855384293376|https://twitter.com/AnailsD/status/1034965855384293376
allcaps99|2018-08-30 00:32|0|0|#MichaelJacksonDay Don't forget. #himtoo pic.twitter.com/vntcxTL8Sa|||#MichaelJacksonDay #himtoo|1034931906867953664|https://twitter.com/allcaps99/status/1034931906867953664
JeffreySluder|2018-08-29 23:55|0|0|#HimToo|||#HimToo|1034922480434130945|https://twitter.com/JeffreySluder/status/1034922480434130945
PapaGraymouse|2018-08-29 23:29|0|1|My friend quinten got stabbed by a crazy chick in the side #himtoo #gottem #skinnylegend|||#himtoo #gottem #skinnylegend|1034916059118293007|https://twitter.com/PapaGraymouse/status/1034916059118293007
angryrep|2018-08-29 23:13|0|0|#himtoo|||#himtoo|1034911906320932864|https://twitter.com/angryrep/status/1034911906320932864
apaladewalsh|2018-08-29 21:21|0|0|Durante a actuação, ele ficou dentro das calças. #himtoo https://www. nbcnews.com/nightly-news/v ideo/louis-c-k-performs-stand-up-for-the-first-time-since-misconduct-allegations-1308426819972?v=raila …|||#himtoo|1034883672275660800|https://twitter.com/apaladewalsh/status/1034883672275660800
Almost40Shorty|2018-08-29 20:39|0|0|Well, I'm not trying to make it a #HimToo or #HerToo - That's why " #Metoo " works so well. Because it is symbolic by all of those hurt by the actions of another.. It's not race, sex, etc based. It's victim based..|||#HimToo #HerToo #Metoo|1034873261123874816|https://twitter.com/Almost40Shorty/status/1034873261123874816
